"","age","c_charge_degree","race","age_cat","score_text","sex","priors_count","days_b_screening_arrest","decile_score","is_recid","two_year_recid","c_jail_in","c_jail_out","pred","mis","crime_factor","age_factor","race_factor","gender_factor","score_factor"
"1",69,"F","Other","Greater than 45","Low","Male",0,-1,1,0,0,"2013-08-13 06:03:42","2013-08-14 05:41:20",0,1,"F","Greater than 45","Other","Male","LowScore"
"2",44,"M","Other","25 - 45","Low","Male",0,0,1,0,0,"2013-11-30 04:50:18","2013-12-01 12:28:56",0,1,"M","25 - 45","Other","Male","LowScore"
"3",43,"F","Other","25 - 45","Low","Male",3,-1,4,0,0,"2013-08-29 08:55:23","2013-08-30 08:42:13",0,1,"F","25 - 45","Other","Male","LowScore"
"4",39,"M","Caucasian","25 - 45","Low","Female",0,-1,1,0,0,"2014-03-15 05:35:34","2014-03-18 04:28:46",0,1,"M","25 - 45","Caucasian","Female","LowScore"
"5",27,"F","Caucasian","25 - 45","Low","Male",0,-1,4,0,0,"2013-11-25 06:31:06","2013-11-26 08:26:57",0,1,"F","25 - 45","Caucasian","Male","LowScore"
"6",37,"M","Caucasian","25 - 45","Low","Female",0,0,1,0,0,"2013-01-01 03:28:03","2013-01-02 01:12:19",0,1,"M","25 - 45","Caucasian","Female","LowScore"
"7",41,"F","African-American","25 - 45","Low","Male",0,-1,4,0,0,"2013-10-08 11:53:09","2013-10-09 02:16:51",0,1,"F","25 - 45","African-American","Male","LowScore"
"8",37,"M","Hispanic","25 - 45","Low","Male",0,0,1,0,0,"2014-03-24 03:20:57","2014-03-24 09:09:10",0,1,"M","25 - 45","Hispanic","Male","LowScore"
"9",21,"F","Caucasian","Less than 25","Low","Female",0,-2,4,0,0,"2013-11-20 04:12:09","2013-11-21 07:53:21",0,1,"F","Less than 25","Caucasian","Female","LowScore"
"10",43,"M","Caucasian","25 - 45","Low","Male",1,-1,1,0,0,"2013-01-24 03:43:22","2013-01-25 09:12:10",0,1,"M","25 - 45","Caucasian","Male","LowScore"
"11",32,"M","Other","25 - 45","Low","Male",0,-1,3,0,0,"2013-05-10 08:38:16","2013-05-12 03:33:36",0,1,"M","25 - 45","Other","Male","LowScore"
"12",55,"F","Caucasian","Greater than 45","Low","Male",0,-1,1,0,0,"2013-12-29 06:37:02","2013-12-31 10:29:24",0,1,"F","Greater than 45","Caucasian","Male","LowScore"
"13",29,"M","Caucasian","25 - 45","Low","Male",0,0,2,0,0,"2013-01-16 12:44:00","2013-01-16 06:49:32",0,1,"M","25 - 45","Caucasian","Male","LowScore"
"14",51,"M","African-American","Greater than 45","Low","Male",2,-1,1,0,0,"2013-02-27 04:44:18","2013-02-28 08:01:39",0,1,"M","Greater than 45","African-American","Male","LowScore"
"15",51,"F","African-American","Greater than 45","Low","Female",7,-1,2,0,0,"2013-02-13 09:29:56","2013-02-15 01:35:37",0,1,"F","Greater than 45","African-American","Female","LowScore"
"16",49,"M","Caucasian","Greater than 45","Low","Male",0,0,1,0,0,"2013-08-02 04:43:01","2013-08-02 08:31:32",0,1,"M","Greater than 45","Caucasian","Male","LowScore"
"17",29,"F","African-American","25 - 45","Low","Male",0,0,4,0,0,"2013-04-24 04:28:24","2013-04-24 08:20:12",0,1,"F","25 - 45","African-American","Male","LowScore"
"18",28,"F","Other","25 - 45","Low","Female",0,-1,2,0,0,"2013-11-17 09:43:17","2013-11-18 08:03:35",0,1,"F","25 - 45","Other","Female","LowScore"
"19",49,"M","African-American","Greater than 45","Low","Male",4,-1,1,0,0,"2013-08-26 09:16:39","2013-08-27 06:57:19",0,1,"M","Greater than 45","African-American","Male","LowScore"
"20",53,"F","Caucasian","Greater than 45","Medium","Male",8,-13,5,0,0,"2013-05-15 08:36:10","2013-05-28 10:06:35",0,1,"F","Greater than 45","Caucasian","Male","HighScore"
"21",35,"F","African-American","25 - 45","Low","Male",5,-1,3,0,0,"2013-02-10 07:44:42","2013-02-11 07:04:44",0,1,"F","25 - 45","African-American","Male","LowScore"
"22",62,"M","Hispanic","Greater than 45","Low","Male",0,0,1,0,0,"2013-01-08 12:33:09","2013-01-08 09:41:28",0,1,"M","Greater than 45","Hispanic","Male","LowScore"
"23",33,"M","Other","25 - 45","Low","Male",0,-1,1,0,0,"2014-03-08 01:34:03","2014-03-09 10:21:45",0,1,"M","25 - 45","Other","Male","LowScore"
"24",56,"M","African-American","Greater than 45","Low","Female",0,0,1,0,0,"2013-09-28 02:52:18","2013-10-01 07:39:52",0,1,"M","Greater than 45","African-American","Female","LowScore"
"25",22,"F","Hispanic","Less than 25","Low","Male",1,-1,4,0,0,"2013-05-24 06:06:17","2013-05-25 07:28:17",0,1,"F","Less than 25","Hispanic","Male","LowScore"
"26",39,"M","African-American","25 - 45","Low","Male",1,-1,4,0,0,"2013-03-06 11:23:53","2013-03-11 09:00:57",0,1,"M","25 - 45","African-American","Male","LowScore"
"27",40,"F","African-American","25 - 45","Low","Male",2,-15,2,0,0,"2013-07-02 03:42:01","2013-07-05 08:13:10",0,1,"F","25 - 45","African-American","Male","LowScore"
"28",32,"F","African-American","25 - 45","Low","Male",0,-1,2,0,0,"2013-03-03 03:33:48","2013-03-04 07:08:59",0,1,"F","25 - 45","African-American","Male","LowScore"
"29",41,"M","African-American","25 - 45","Low","Male",1,-1,2,0,0,"2013-02-27 09:49:07","2013-03-01 01:59:16",0,1,"M","25 - 45","African-American","Male","LowScore"
"30",35,"M","African-American","25 - 45","Low","Female",1,-1,2,0,0,"2013-03-29 06:55:39","2013-03-30 03:12:37",0,1,"M","25 - 45","African-American","Female","LowScore"
"31",54,"M","Caucasian","Greater than 45","Low","Female",0,0,1,0,0,"2013-04-15 01:07:24","2013-04-15 07:56:24",0,1,"M","Greater than 45","Caucasian","Female","LowScore"
"32",44,"M","Hispanic","25 - 45","Low","Female",0,-2,1,0,0,"2013-08-18 03:23:05","2013-08-19 06:27:00",0,1,"M","25 - 45","Hispanic","Female","LowScore"
"33",30,"F","African-American","25 - 45","Low","Male",1,-1,2,0,0,"2013-09-08 09:39:18","2013-09-09 08:03:09",0,1,"F","25 - 45","African-American","Male","LowScore"
"34",30,"F","Caucasian","25 - 45","Low","Male",0,-1,4,0,0,"2013-08-28 11:22:24","2013-09-03 10:40:45",0,1,"F","25 - 45","Caucasian","Male","LowScore"
"35",31,"M","Caucasian","25 - 45","Medium","Male",0,-1,5,0,0,"2014-02-20 09:46:47","2014-03-31 09:04:43",0,1,"M","25 - 45","Caucasian","Male","HighScore"
"36",39,"F","Caucasian","25 - 45","Low","Female",1,-1,4,0,0,"2013-02-25 07:42:47","2013-06-12 04:31:04",0,1,"F","25 - 45","Caucasian","Female","LowScore"
"37",43,"F","Caucasian","25 - 45","Low","Male",1,-30,1,0,0,"2013-07-16 06:41:37","2013-07-17 07:35:00",0,1,"F","25 - 45","Caucasian","Male","LowScore"
"38",34,"F","Caucasian","25 - 45","Medium","Male",0,0,5,0,0,"2013-02-15 10:54:22","2013-03-02 09:04:47",0,1,"F","25 - 45","Caucasian","Male","HighScore"
"39",37,"F","African-American","25 - 45","Low","Male",3,0,2,0,0,"2013-11-18 03:46:24","2013-11-19 10:18:36",0,1,"F","25 - 45","African-American","Male","LowScore"
"40",30,"F","Other","25 - 45","Low","Female",1,-1,2,0,0,"2013-10-28 07:07:32","2013-10-29 09:49:38",0,1,"F","25 - 45","Other","Female","LowScore"
"41",42,"F","Caucasian","25 - 45","Low","Male",6,-4,3,0,0,"2013-09-13 12:01:41","2013-09-13 09:01:37",0,1,"F","25 - 45","Caucasian","Male","LowScore"
"42",25,"F","Caucasian","25 - 45","Low","Female",2,-1,4,0,0,"2013-12-22 01:36:59","2013-12-25 02:33:32",0,1,"F","25 - 45","Caucasian","Female","LowScore"
"43",30,"M","Caucasian","25 - 45","Low","Male",1,-20,2,0,0,"2013-10-30 06:36:57","2013-11-03 02:08:43",0,1,"M","25 - 45","Caucasian","Male","LowScore"
"44",37,"M","Other","25 - 45","Low","Female",2,-1,2,0,0,"2013-12-29 10:42:45","2013-12-31 04:10:00",0,1,"M","25 - 45","Other","Female","LowScore"
"45",24,"M","African-American","Less than 25","Low","Female",0,-1,2,0,0,"2014-02-06 01:25:28","2014-02-08 12:00:39",0,1,"M","Less than 25","African-American","Female","LowScore"
"46",43,"M","Caucasian","25 - 45","Low","Female",0,0,1,0,0,"2013-05-14 04:01:02","2013-05-15 03:11:16",0,1,"M","25 - 45","Caucasian","Female","LowScore"
"47",63,"F","Hispanic","Greater than 45","Low","Male",1,-26,1,0,0,"2014-01-10 09:45:32","2014-01-25 05:08:15",0,1,"F","Greater than 45","Hispanic","Male","LowScore"
"48",29,"F","Hispanic","25 - 45","Low","Male",1,-1,4,0,0,"2013-09-05 06:24:46","2013-09-06 03:39:35",0,1,"F","25 - 45","Hispanic","Male","LowScore"
"49",39,"M","Caucasian","25 - 45","Low","Male",1,-1,4,0,0,"2014-02-10 10:59:01","2014-02-14 09:09:06",0,1,"M","25 - 45","Caucasian","Male","LowScore"
"50",48,"M","Caucasian","Greater than 45","Low","Male",2,-1,2,0,0,"2013-09-25 12:51:27","2013-09-26 08:42:11",0,1,"M","Greater than 45","Caucasian","Male","LowScore"
"51",22,"F","African-American","Less than 25","Low","Male",1,-1,2,0,0,"2013-05-15 12:16:21","2013-05-16 09:03:09",0,1,"F","Less than 25","African-American","Male","LowScore"
"52",31,"F","Caucasian","25 - 45","Medium","Male",0,0,5,0,0,"2013-04-20 02:52:11","2013-04-22 09:19:35",0,1,"F","25 - 45","Caucasian","Male","HighScore"
"53",23,"F","Hispanic","Less than 25","Low","Male",0,-1,3,0,0,"2013-09-08 01:03:31","2013-09-08 02:03:07",0,1,"F","Less than 25","Hispanic","Male","LowScore"
"54",52,"M","Hispanic","Greater than 45","Low","Male",2,-1,1,0,0,"2013-03-04 10:07:00","2013-03-07 11:56:36",0,1,"M","Greater than 45","Hispanic","Male","LowScore"
"55",62,"F","African-American","Greater than 45","Low","Male",8,0,4,0,0,"2013-02-05 12:23:14","2013-02-21 04:06:55",0,1,"F","Greater than 45","African-American","Male","LowScore"
"56",54,"F","Hispanic","Greater than 45","Low","Male",2,-1,1,0,0,"2013-08-28 02:23:37","2014-03-04 11:31:17",0,1,"F","Greater than 45","Hispanic","Male","LowScore"
"57",58,"F","Hispanic","Greater than 45","Low","Male",0,-1,2,0,0,"2013-03-13 10:02:13","2013-03-14 02:21:27",0,1,"F","Greater than 45","Hispanic","Male","LowScore"
"58",56,"F","Caucasian","Greater than 45","Low","Male",0,-1,1,0,0,"2014-03-02 03:51:04","2014-03-03 07:47:20",0,1,"F","Greater than 45","Caucasian","Male","LowScore"
"59",24,"F","Other","Less than 25","Low","Male",0,-1,2,0,0,"2014-01-13 09:13:09","2014-01-15 08:37:12",0,1,"F","Less than 25","Other","Male","LowScore"
